NOM_USUEL;AAAAMMJJ;RR;TN;TX;DG;FFM
TOUROUVRE_SAPC;20071002;5.0;14.5;19.6;0;
TOUROUVRE_SAPC;20071003;1.6;15.0;19.5;0;
TOUROUVRE_SAPC;20071004;0.0;12.2;16.1;0;
TOUROUVRE_SAPC;20071005;0.0;9.5;18.8;0;
TOUROUVRE_SAPC;20071006;0.0;8.8;18.8;0;
TOUROUVRE_SAPC;20071007;0.2;7.1;20.2;0;
TOUROUVRE_SAPC;20071008;0.0;9.2;17.7;0;
TOUROUVRE_SAPC;20071009;10.9;7.5;17.8;0;
TOUROUVRE_SAPC;20071010;0.2;10.2;16.5;0;
TOUROUVRE_SAPC;20071011;0.0;8.3;17.1;0;
TOUROUVRE_SAPC;20071012;0.0;3.3;17.4;0;
TOUROUVRE_SAPC;20071013;0.0;11.6;17.2;0;
TOUROUVRE_SAPC;20071014;0.0;5.4;18.1;0;
TOUROUVRE_SAPC;20071015;0.2;4.7;12.3;0;
TOUROUVRE_SAPC;20071016;1.0;3.6;17.7;0;
TOUROUVRE_SAPC;20071017;0.0;8.4;14.2;0;
TOUROUVRE_SAPC;20071018;0.0;4.4;13.1;0;
TOUROUVRE_SAPC;20071019;0.0;3.4;13.2;0;
TOUROUVRE_SAPC;20071020;0.0;3.7;11.1;0;
TOUROUVRE_SAPC;20071021;0.0;-0.5;12.1;226;
TOUROUVRE_SAPC;20071022;0.0;-1.3;11.3;313;
TOUROUVRE_SAPC;20071023;0.0;-0.2;10.4;67;
TOUROUVRE_SAPC;20071024;0.0;1.3;10.1;0;
TOUROUVRE_SAPC;20071025;0.0;4.9;8.1;0;
TOUROUVRE_SAPC;20071026;0.0;6.9;9.7;0;
TOUROUVRE_SAPC;20071027;0.0;7.3;11.5;0;
TOUROUVRE_SAPC;20071028;21.4;6.7;10.8;0;
TOUROUVRE_SAPC;20071029;4.4;8.3;12.9;0;
TOUROUVRE_SAPC;20071030;0.6;4.9;12.6;0;
TOUROUVRE_SAPC;20071031;0.2;1.3;12.9;0;
TOUROUVRE_SAPC;20071101;0.0;1.6;13.4;0;
TOUROUVRE_SAPC;20071102;0.0;11.0;12.6;0;
TOUROUVRE_SAPC;20071103;0.4;11.0;13.4;0;
TOUROUVRE_SAPC;20071104;0.0;7.6;13.2;0;
TOUROUVRE_SAPC;20071105;0.2;2.3;11.5;0;
TOUROUVRE_SAPC;20071106;0.0;4.3;11.4;0;
TOUROUVRE_SAPC;20071107;0.0;0.2;11.6;0;
TOUROUVRE_SAPC;20071108;3.2;8.7;12.1;0;
TOUROUVRE_SAPC;20071109;0.0;3.8;10.6;0;
TOUROUVRE_SAPC;20071110;0.0;3.3;12.7;0;
TOUROUVRE_SAPC;20071111;1.2;8.1;13.1;0;
TOUROUVRE_SAPC;20071112;0.0;2.2;8.9;197;
TOUROUVRE_SAPC;20071113;2.8;-2.0;8.2;472;
TOUROUVRE_SAPC;20071114;1.0;4.7;7.8;0;
TOUROUVRE_SAPC;20071115;0.0;0.1;5.5;252;
TOUROUVRE_SAPC;20071116;0.2;-3.7;4.3;898;
TOUROUVRE_SAPC;20071117;0.0;-5.6;7.1;964;
TOUROUVRE_SAPC;20071118;10.0;-3.1;4.7;782;
TOUROUVRE_SAPC;20071119;9.0;0.5;7.6;0;
TOUROUVRE_SAPC;20071120;30.3;6.0;10.5;0;
TOUROUVRE_SAPC;20071121;0.2;7.8;11.5;0;
TOUROUVRE_SAPC;20071122;0.0;3.8;10.2;0;
TOUROUVRE_SAPC;20071123;0.4;2.8;7.3;0;
TOUROUVRE_SAPC;20071124;0.6;0.6;7.3;1;
TOUROUVRE_SAPC;20071125;0.2;0.0;10.4;0;
TOUROUVRE_SAPC;20071126;0.0;2.1;8.8;0;
TOUROUVRE_SAPC;20071127;0.0;4.5;8.6;0;
TOUROUVRE_SAPC;20071128;0.2;3.8;6.9;0;
TOUROUVRE_SAPC;20071129;1.4;3.9;9.8;0;
TOUROUVRE_SAPC;20071130;4.2;0.2;9.8;0;
TOUROUVRE_SAPC;20071201;5.9;5.4;10.3;0;
TOUROUVRE_SAPC;20071202;25.8;4.4;11.3;0;
TOUROUVRE_SAPC;20071203;0.6;6.7;11.0;0;
TOUROUVRE_SAPC;20071204;0.2;4.2;11.0;0;
TOUROUVRE_SAPC;20071205;1.8;9.8;12.0;0;
TOUROUVRE_SAPC;20071206;8.4;7.0;12.6;0;
TOUROUVRE_SAPC;20071207;7.7;5.3;11.3;0;
TOUROUVRE_SAPC;20071208;13.3;2.7;11.5;0;
TOUROUVRE_SAPC;20071209;15.1;5.9;7.8;0;
TOUROUVRE_SAPC;20071210;3.0;5.7;7.2;0;
TOUROUVRE_SAPC;20071211;0.0;2.7;6.1;33;
TOUROUVRE_SAPC;20071212;0.4;-2.9;5.4;658;
TOUROUVRE_SAPC;20071213;0.0;-1.0;3.6;440;
TOUROUVRE_SAPC;20071214;0.0;0.4;1.4;267;
TOUROUVRE_SAPC;20071215;0.0;-1.4;1.3;1090;
TOUROUVRE_SAPC;20071216;0.0;-4.4;0.1;1424;
TOUROUVRE_SAPC;20071217;0.0;-3.3;-1.0;1440;
TOUROUVRE_SAPC;20071218;0.0;-5.0;0.7;1333;
TOUROUVRE_SAPC;20071219;0.4;-6.2;2.8;1184;
TOUROUVRE_SAPC;20071220;0.0;-6.0;3.9;1167;
TOUROUVRE_SAPC;20071221;0.2;-4.9;7.1;928;
TOUROUVRE_SAPC;20071222;0.0;-4.4;9.4;882;
TOUROUVRE_SAPC;20071223;0.2;-5.0;10.1;926;
TOUROUVRE_SAPC;20071224;0.0;-5.7;7.5;973;
TOUROUVRE_SAPC;20071225;4.0;-3.2;2.9;441;
TOUROUVRE_SAPC;20071226;0.6;1.2;3.8;0;
TOUROUVRE_SAPC;20071227;0.6;2.2;6.9;0;
TOUROUVRE_SAPC;20071228;0.2;2.4;6.2;0;
TOUROUVRE_SAPC;20071229;2.6;3.2;8.8;0;
TOUROUVRE_SAPC;20071230;0.4;2.0;8.3;0;
TOUROUVRE_SAPC;20071231;1.4;2.7;5.9;47;
TOUROUVRE_SAPC;20080101;0.0;-0.5;7.5;106;
TOUROUVRE_SAPC;20080102;3.0;-0.8;0.2;1335;
TOUROUVRE_SAPC;20080103;0.6;-2.0;6.0;300;
TOUROUVRE_SAPC;20080104;12.5;2.8;9.0;0;
TOUROUVRE_SAPC;20080105;1.0;4.0;8.3;0;
TOUROUVRE_SAPC;20080106;2.8;0.1;11.6;0;
TOUROUVRE_SAPC;20080107;0.4;6.0;9.6;0;
TOUROUVRE_SAPC;20080108;0.2;4.7;8.1;0;
TOUROUVRE_SAPC;20080109;2.0;3.7;8.9;0;
TOUROUVRE_SAPC;20080110;4.0;3.0;10.0;0;
TOUROUVRE_SAPC;20080111;5.2;6.5;9.4;0;
TOUROUVRE_SAPC;20080112;0.0;0.8;8.0;0;
TOUROUVRE_SAPC;20080113;4.0;5.0;8.0;0;
TOUROUVRE_SAPC;20080114;1.0;4.5;8.5;0;
TOUROUVRE_SAPC;20080115;20.0;7.0;8.0;0;
TOUROUVRE_SAPC;20080116;3.0;4.5;8.0;0;
TOUROUVRE_SAPC;20080117;2.2;4.5;11.0;0;
TOUROUVRE_SAPC;20080118;1.2;5.9;11.8;0;
TOUROUVRE_SAPC;20080119;0.0;10.4;13.1;0;
TOUROUVRE_SAPC;20080120;0.0;9.0;11.2;0;
TOUROUVRE_SAPC;20080121;2.0;7.1;10.6;0;
TOUROUVRE_SAPC;20080122;0.0;6.2;10.1;0;
TOUROUVRE_SAPC;20080123;0.0;2.0;9.0;0;
TOUROUVRE_SAPC;20080124;0.2;7.1;9.4;0;
TOUROUVRE_SAPC;20080125;0.2;-2.4;8.2;675;
TOUROUVRE_SAPC;20080126;0.0;-4.6;8.2;946;
TOUROUVRE_SAPC;20080127;0.2;-5.0;11.8;824;
TOUROUVRE_SAPC;20080128;0.2;-4.7;8.8;929;
TOUROUVRE_SAPC;20080129;0.0;-4.3;1.8;761;
TOUROUVRE_SAPC;20080130;1.4;0.5;5.3;303;
TOUROUVRE_SAPC;20080131;9.5;-3.7;7.7;504;
TOUROUVRE_SAPC;20080201;11.3;2.3;6.1;0;
TOUROUVRE_SAPC;20080202;0.2;-2.1;6.2;502;
TOUROUVRE_SAPC;20080203;6.0;-1.1;7.6;447;
TOUROUVRE_SAPC;20080204;9.1;3.2;7.4;0;
TOUROUVRE_SAPC;20080205;7.8;2.3;11.5;0;
TOUROUVRE_SAPC;20080206;0.0;5.2;11.3;5;
TOUROUVRE_SAPC;20080207;0.2;-1.1;12.2;422;
TOUROUVRE_SAPC;20080208;0.0;-0.4;14.4;53;
TOUROUVRE_SAPC;20080209;0.0;-0.6;13.5;123;
TOUROUVRE_SAPC;20080210;0.0;-0.7;12.8;146;
TOUROUVRE_SAPC;20080211;0.0;0.3;11.1;0;
TOUROUVRE_SAPC;20080212;0.0;-0.6;10.6;86;
TOUROUVRE_SAPC;20080213;0.0;1.5;10.5;0;
TOUROUVRE_SAPC;20080214;0.2;-1.4;3.3;568;
TOUROUVRE_SAPC;20080215;0.0;-1.9;1.2;979;
TOUROUVRE_SAPC;20080216;0.0;-2.7;4.5;690;
TOUROUVRE_SAPC;20080217;0.2;-3.5;7.4;814;
TOUROUVRE_SAPC;20080218;0.0;-3.0;9.8;500;
TOUROUVRE_SAPC;20080219;2.0;-2.0;10.8;269;
